Year,Domestic,International,Bonds
1990,0.05,-0.02,0.08
1991,0.30,0.12,0.15
1992,0.07,-0.05,0.07
1993,0.10,0.32,0.10
1994,0.01,-0.01,-0.03
1995,0.37,0.15,0.18
1996,0.23,0.06,0.03
1997,0.33,0.02,0.10
1998,0.28,0.20,0.09
1999,0.21,0.27,-0.01
2000,-0.09,-0.14,0.12
2001,-0.12,-0.21,0.08
2002,-0.22,-0.16,0.10
2003,0.28,0.38,0.04
2004,0.11,0.20,0.04
2005,0.05,0.14,0.02
2006,0.16,0.26,0.04
2007,0.05,0.11,0.07
2008,-0.37,-0.43,0.05
2009,0.26,0.31,0.06
2010,0.15,0.08,0.07
2011,0.02,-0.12,0.08
2012,0.16,0.17,0.04
2013,0.32,0.23,-0.02
2014,0.14,-0.05,0.06
2015,0.01,-0.01,0.01
2016,0.12,0.01,0.03
2017,0.21,0.25,0.04
2018,-0.04,-0.14,0.00
2019,0.31,0.22,0.09
2020,0.18,0.08,0.08
